Country,Region,Year,Happiness Rank,Happiness Score,Economy,Family,Freedom,Health,Generosity,Trust
Turkey,Middle East and Northern Africa,2016,78,5.3889999999999985,1.1649200000000002,0.8771700000000001,0.23889,0.64718,0.04707,0.12348
Indonesia,Southeastern Asia,2016,79,5.314,0.95104,0.87625,0.39237,0.49374,0.56521,0.00322
Jordan,Middle East and Northern Africa,2016,80,5.303,0.99673,0.86216,0.36023,0.60712,0.14262,0.13297
Azerbaijan,Central and Eastern Europe,2016,81,5.291,1.12373,0.76042,0.35327,0.54504,0.0564,0.17914000000000002
Philippines,Southeastern Asia,2016,82,5.279,0.81217,0.87877,0.5485399999999999,0.4703600000000001,0.21674,0.11757
China,Eastern Asia,2016,83,5.245,1.0278,0.79381,0.44012,0.73561,0.04959,0.02745
Bhutan,Southern Asia,2016,84,5.1960000000000015,0.8527,0.90836,0.46074,0.49759,0.4854600000000001,0.1616
Kyrgyzstan,Central and Eastern Europe,2016,85,5.185,0.5604399999999999,0.95434,0.40212,0.5544899999999999,0.38432,0.04762
Serbia,Central and Eastern Europe,2016,86,5.1770000000000005,1.03437,0.81329,0.15718,0.6458,0.20737,0.04339
Bosnia and Herzegovina,Central and Eastern Europe,2016,87,5.1629999999999985,0.93383,0.64367,0.09511,0.7076600000000001,0.29889,0.0
Montenegro,Central and Eastern Europe,2016,88,5.1610000000000005,1.07838,0.74173,0.15111,0.6353300000000001,0.17190999999999998,0.12721
Dominican Republic,Latin America and Caribbean,2016,89,5.155,1.02787,0.99496,0.52259,0.5766899999999999,0.21286,0.12372
Morocco,Middle East and Northern Africa,2016,90,5.151,0.8405799999999999,0.38595,0.25646,0.5947100000000001,0.04053,0.08404
Hungary,Central and Eastern Europe,2016,91,5.145,1.24142,0.93164,0.1977,0.67608,0.099,0.04472
Pakistan,Southern Asia,2016,92,5.1320000000000014,0.68816,0.26135,0.14622000000000002,0.40306,0.31185,0.1388
Lebanon,Middle East and Northern Africa,2016,93,5.129,1.12268,0.64184,0.26228,0.76171,0.23693000000000006,0.03061
Portugal,Western Europe,2016,94,5.122999999999998,1.27607,0.94367,0.44727,0.7936300000000001,0.11691,0.01521
Macedonia,Central and Eastern Europe,2016,95,5.121,1.0193,0.78236,0.27668000000000004,0.6473800000000001,0.23507,0.07047
Vietnam,Southeastern Asia,2016,96,5.061,0.74037,0.7911699999999999,0.5595399999999999,0.66157,0.25075,0.11556
Somaliland Region,Sub-Saharan Africa,2016,97,5.057,0.25558000000000003,0.75862,0.3913,0.33108000000000004,0.51479,0.36794
Tunisia,Middle East and Northern Africa,2016,98,5.045,0.97724,0.43165,0.23553,0.59577,0.03936,0.0817
Greece,Western Europe,2016,99,5.033,1.24886,0.75473,0.058220000000000015,0.80029,0.0,0.04127
Tajikistan,Central and Eastern Europe,2016,100,4.996,0.48835,0.75602,0.43408,0.5311899999999999,0.25998000000000004,0.13509000000000002
Mongolia,Eastern Asia,2016,101,4.907,0.98853,1.08983,0.35972,0.55469,0.34539000000000003,0.03285
Laos,Southeastern Asia,2016,102,4.876,0.68042,0.5497,0.52168,0.38291,0.43079,0.22423
Nigeria,Sub-Saharan Africa,2016,103,4.875,0.75216,0.64498,0.27854,0.05108,0.23219,0.0305
Honduras,Latin America and Caribbean,2016,104,4.871,0.69429,0.7559600000000001,0.26755,0.5838300000000001,0.2044,0.06906
Iran,Middle East and Northern Africa,2016,105,4.813,1.11758,0.38857,0.22544,0.64232,0.38538,0.0557
Zambia,Sub-Saharan Africa,2016,106,4.795,0.61202,0.6376,0.42662,0.23573,0.17866,0.11479
Nepal,Southern Asia,2016,107,4.793,0.4462600000000001,0.69699,0.37012,0.50073,0.3816,0.07007999999999999
Palestinian Territories,Middle East and Northern Africa,2016,108,4.754,0.67024,0.71629,0.17744,0.56844,0.11154,0.10613
Albania,Central and Eastern Europe,2016,109,4.655,0.9553,0.50163,0.31866,0.73007,0.1684,0.05301
Bangladesh,Southern Asia,2016,110,4.643,0.54177,0.24749,0.39778,0.52989,0.19132,0.12583
Sierra Leone,Sub-Saharan Africa,2016,111,4.635,0.36485,0.628,0.30685,0.0,0.23897,0.08196
Iraq,Middle East and Northern Africa,2016,112,4.575,1.07474,0.59205,0.24856,0.51076,0.19589,0.13635999999999998
Namibia,Sub-Saharan Africa,2016,113,4.574,0.93287,0.70362,0.48614,0.34745,0.07795,0.10398
Cameroon,Sub-Saharan Africa,2016,114,4.513,0.5249699999999999,0.62542,0.42736,0.12697999999999998,0.2268,0.06126
Ethiopia,Sub-Saharan Africa,2016,115,4.508,0.29283000000000003,0.37932,0.36703,0.34578000000000003,0.29522,0.1717
South Africa,Sub-Saharan Africa,2016,116,4.459,1.02416,0.96053,0.42483,0.18611,0.13656,0.08415
Sri Lanka,Southern Asia,2016,117,4.415,0.97318,0.84783,0.50817,0.62007,0.46978,0.07964
India,Southern Asia,2016,118,4.404,0.74036,0.29247,0.40285,0.45091,0.25028,0.08722
Myanmar,Southeastern Asia,2016,119,4.395,0.34112,0.69981,0.42692,0.3988,0.81971,0.20243
Egypt,Middle East and Northern Africa,2016,120,4.362,0.95395,0.49813,0.18847,0.5211600000000001,0.12705999999999998,0.10393
Armenia,Central and Eastern Europe,2016,121,4.36,0.8608600000000001,0.6247699999999999,0.14037,0.64083,0.07793,0.036160000000000005
Kenya,Sub-Saharan Africa,2016,122,4.356,0.52267,0.7624,0.40576,0.30147,0.41328,0.06686
Ukraine,Central and Eastern Europe,2016,123,4.324,0.87287,1.01413,0.12859,0.58628,0.20363,0.01829
Ghana,Sub-Saharan Africa,2016,124,4.276,0.63107,0.49353,0.40973,0.29681,0.21203,0.0326
Congo (Kinshasa),Sub-Saharan Africa,2016,125,4.272,0.05661,0.80676,0.15602,0.188,0.25458000000000003,0.06075
Georgia,Central and Eastern Europe,2016,126,4.252,0.8379200000000001,0.19249,0.32461,0.64035,0.06786,0.3188
Congo (Brazzaville),Sub-Saharan Africa,2016,127,4.2360000000000015,0.7710899999999999,0.47799,0.37938,0.28212,0.12077,0.09753
Senegal,Sub-Saharan Africa,2016,128,4.2189999999999985,0.44314,0.7741600000000001,0.31056,0.40457,0.19103,0.11681
Bulgaria,Central and Eastern Europe,2016,129,4.217,1.11306,0.92542,0.21219,0.67806,0.12793,0.00615
Mauritania,Sub-Saharan Africa,2016,130,4.2010000000000005,0.6139100000000001,0.8414200000000001,0.1268,0.28639000000000003,0.22686,0.17955
Zimbabwe,Sub-Saharan Africa,2016,131,4.1930000000000005,0.35041,0.71478,0.25429,0.1595,0.18503,0.08582000000000001
Malawi,Sub-Saharan Africa,2016,132,4.1560000000000015,0.08709,0.147,0.4143,0.29364,0.30968,0.07564
Sudan,Sub-Saharan Africa,2016,133,4.1389999999999985,0.63069,0.8192799999999999,0.0,0.29759,0.18077,0.10039
Gabon,Sub-Saharan Africa,2016,134,4.121,1.15851,0.72368,0.28098,0.3494,0.06244,0.09314
Mali,Sub-Saharan Africa,2016,135,4.073,0.31292,0.8633299999999999,0.27544,0.16347,0.21064,0.13647
Haiti,Latin America and Caribbean,2016,136,4.0280000000000005,0.34097,0.29561,0.12072,0.27494,0.47958,0.14476
Botswana,Sub-Saharan Africa,2016,137,3.974,1.09426,0.89186,0.44089,0.34752,0.12425,0.10769
Comoros,Sub-Saharan Africa,2016,138,3.956,0.27509,0.60323,0.15412,0.29981,0.1827,0.18437
Ivory Coast,Sub-Saharan Africa,2016,139,3.916,0.55507,0.57576,0.40663,0.04476,0.20338,0.1553
Cambodia,Southeastern Asia,2016,140,3.907,0.55604,0.5375,0.5885199999999999,0.42494,0.40339,0.08092
Angola,Sub-Saharan Africa,2016,141,3.866,0.84731,0.66366,0.00589,0.04991,0.12070999999999997,0.08434
Niger,Sub-Saharan Africa,2016,142,3.856,0.1327,0.6053,0.38041,0.26162,0.2097,0.17176
South Sudan,Sub-Saharan Africa,2016,143,3.832,0.39394,0.18519,0.19662,0.15780999999999998,0.25899,0.13015
Chad,Sub-Saharan Africa,2016,144,3.763,0.42214,0.63178,0.12807000000000002,0.03824,0.18667,0.04952
Burkina Faso,Sub-Saharan Africa,2016,145,3.739,0.31995,0.63054,0.3337,0.21297,0.24353,0.12533
Uganda,Sub-Saharan Africa,2016,145,3.739,0.34719,0.90981,0.43653,0.19625,0.27102,0.06442
Yemen,Middle East and Northern Africa,2016,147,3.724,0.57939,0.47493,0.2287,0.31048000000000003,0.09821,0.058920000000000014
Madagascar,Sub-Saharan Africa,2016,148,3.695,0.27954,0.46115,0.13684000000000002,0.37109,0.2204,0.07506
Tanzania,Sub-Saharan Africa,2016,149,3.666,0.47155,0.77623,0.3176,0.35700000000000004,0.31472,0.05099
Liberia,Sub-Saharan Africa,2016,150,3.622,0.10706,0.50353,0.25748000000000004,0.23165,0.24063,0.04852
Guinea,Sub-Saharan Africa,2016,151,3.607,0.22415,0.3109,0.30953,0.18829,0.29914,0.1192
Rwanda,Sub-Saharan Africa,2016,152,3.515,0.32846,0.6158600000000001,0.5432,0.31865,0.23552,0.50521
Benin,Sub-Saharan Africa,2016,153,3.484,0.39499,0.10419,0.39747,0.21028,0.2018,0.06681000000000001
Afghanistan,Southern Asia,2016,154,3.36,0.38227,0.11037,0.1643,0.17344,0.31268,0.07112
Togo,Sub-Saharan Africa,2016,155,3.303,0.28123000000000004,0.0,0.34678000000000003,0.24811,0.17517,0.11587
Syria,Middle East and Northern Africa,2016,156,3.069,0.7471899999999999,0.14866,0.06912,0.6299399999999999,0.48397,0.17232999999999998
Burundi,Sub-Saharan Africa,2016,157,2.905,0.06831,0.23442,0.0432,0.15747,0.2029,0.09419
Norway,Western Europe,2017,1,7.537000179290769,1.61646318435669,1.53352355957031,0.635422587394714,0.796666502952576,0.36201223731041,0.31596383452415505
Denmark,Western Europe,2017,2,7.52199983596802,1.48238301277161,1.55112159252167,0.626006722450256,0.7925655245780941,0.3552804887294771,0.40077006816864
Iceland,Western Europe,2017,3,7.50400018692017,1.480633020401,1.6105740070343,0.6271626353263849,0.8335521221160892,0.475540220737457,0.15352655947208402
Switzerland,Western Europe,2017,4,7.49399995803833,1.5649795532226598,1.51691174507141,0.620070576667786,0.858131289482117,0.29054927825927696,0.3670072853565221
Finland,Western Europe,2017,5,7.468999862670901,1.44357192516327,1.5402467250824,0.6179508566856379,0.80915766954422,0.24548277258873,0.38261154294014
Netherlands,Western Europe,2017,6,7.3769998550415,1.50394463539124,1.42893922328949,0.5853844881057739,0.8106961250305179,0.470489829778671,0.282661825418472
Canada,North America,2017,7,7.31599998474121,1.47920441627502,1.48134899139404,0.611100912094116,0.83455765247345,0.435539722442627,0.287371516227722
New Zealand,Australia and New Zealand,2017,8,7.31400012969971,1.40570604801178,1.54819512367249,0.6140621304512021,0.816759705543518,0.500005125999451,0.38281670212745705
Sweden,Western Europe,2017,9,7.28399991989136,1.49438726902008,1.47816216945648,0.612924098968506,0.830875158309937,0.38539925217628496,0.384398728609085
Australia,Australia and New Zealand,2017,10,7.28399991989136,1.4844149351120002,1.5100419521331798,0.601607382297516,0.84388679265976,0.477699249982834,0.301183730363846
Israel,Middle East and Northern Africa,2017,11,7.212999820709231,1.3753824234008798,1.37628996372223,0.405988603830338,0.83840399980545,0.330082654953003,0.0852421000599861
Costa Rica,Latin America and Caribbean,2017,12,7.0789999961853,1.10970628261566,1.4164036512374898,0.580131649971008,0.7595092654228209,0.21461322903633104,0.100106589496136
Austria,Western Europe,2017,13,7.00600004196167,1.48709726333618,1.4599449634552,0.567766189575195,0.8153284192085269,0.316472321748734,0.22106036543846105
United States,North America,2017,14,6.993000030517581,1.54625928401947,1.4199205636978105,0.505740523338318,0.7742866277694699,0.392578780651093,0.135638788342476
Ireland,Western Europe,2017,15,6.977000236511231,1.5357066392898602,1.55823111534119,0.5731103420257571,0.8097826242446899,0.42785832285881,0.2983881533145901
Germany,Western Europe,2017,16,6.9510002136230495,1.48792338371277,1.47252035140991,0.562511384487152,0.798950731754303,0.33626917004585305,0.276731938123703
Belgium,Western Europe,2017,17,6.89099979400635,1.46378076076508,1.4623126983642598,0.5397707223892211,0.8180918693542479,0.23150333762168895,0.251343131065369
Luxembourg,Western Europe,2017,18,6.86299991607666,1.74194359779358,1.45758366584778,0.59662789106369,0.845089495182037,0.283180981874466,0.31883442401886
United Kingdom,Western Europe,2017,19,6.71400022506714,1.44163393974304,1.4964600801467902,0.508190035820007,0.805335938930511,0.492774158716202,0.265428066253662
Chile,Latin America and Caribbean,2017,20,6.65199995040894,1.25278460979462,1.28402495384216,0.376895278692245,0.8194797039031979,0.3266624212265011,0.0822879821062088
United Arab Emirates,Middle East and Northern Africa,2017,21,6.6479997634887695,1.6263433694839498,1.26641023159027,0.60834527015686,0.726798236370087,0.3609419465065,0.324489563703537
Brazil,Latin America and Caribbean,2017,22,6.63500022888184,1.10735321044922,1.43130600452423,0.437453746795654,0.6165523529052729,0.16234989464282998,0.111092761158943
Czech Republic,Central and Eastern Europe,2017,23,6.60900020599365,1.35268235206604,1.43388521671295,0.490946173667908,0.754444003105164,0.0881067588925362,0.0368729270994663
Argentina,Latin America and Caribbean,2017,24,6.59899997711182,1.18529546260834,1.44045114517212,0.4945192039012911,0.695137083530426,0.109457060694695,0.059739887714385986
Mexico,Latin America and Caribbean,2017,25,6.57800006866455,1.15318381786346,1.210862159729,0.412730008363724,0.709978997707367,0.120990432798862,0.132774114608765
Singapore,Southeastern Asia,2017,26,6.57200002670288,1.69227766990662,1.35381436347961,0.549840569496155,0.9494923949241642,0.345965981483459,0.46430778503418
Malta,Western Europe,2017,27,6.52699995040894,1.34327983856201,1.48841166496277,0.588767051696777,0.821944236755371,0.5747305750846861,0.153066068887711
Uruguay,Latin America and Caribbean,2017,28,6.4539999961853,1.21755969524384,1.41222786903381,0.5793922543525699,0.719216823577881,0.175096929073334,0.17806187272071802
Guatemala,Latin America and Caribbean,2017,29,6.4539999961853,0.872001945972443,1.25558519363403,0.5313106179237371,0.540239989757538,0.283488392829895,0.0772232785820961
Panama,Latin America and Caribbean,2017,30,6.4520001411438,1.23374843597412,1.3731925487518302,0.550026834011078,0.706156134605408,0.21055693924427,0.070983923971653
France,Western Europe,2017,31,6.44199991226196,1.43092346191406,1.38777685165405,0.470222115516663,0.8444658517837521,0.129762306809425,0.172502428293228
Thailand,Southeastern Asia,2017,32,6.423999786376951,1.12786877155304,1.4257924556732198,0.580200731754303,0.647239029407501,0.572123110294342,0.0316127352416515
Taiwan Province of China,,2017,33,6.42199993133545,1.4336265325546298,1.38456535339355,0.361466586589813,0.793984234333038,0.258360475301743,0.0638292357325554
Spain,Western Europe,2017,34,6.40299987792969,1.38439786434174,1.53209090232849,0.408781230449677,0.888960599899292,0.190133571624756,0.0709140971302986
Qatar,Middle East and Northern Africa,2017,35,6.375,1.87076568603516,1.27429687976837,0.604130983352661,0.7100980877876278,0.33047387003898604,0.4392992556095121
Colombia,Latin America and Caribbean,2017,36,6.35699987411499,1.07062232494354,1.4021829366683998,0.477487415075302,0.595027923583984,0.14901447296142598,0.0466687418520451
Saudi Arabia,Middle East and Northern Africa,2017,37,6.343999862670901,1.53062355518341,1.28667759895325,0.449750572443008,0.590148329734802,0.147616013884544,0.27343225479126004
Trinidad and Tobago,Latin America and Caribbean,2017,38,6.1680002212524405,1.36135590076447,1.3802285194397,0.518630743026733,0.5199832916259771,0.32529646158218395,0.00896481610834599
Kuwait,Middle East and Northern Africa,2017,39,6.10500001907349,1.63295245170593,1.25969874858856,0.496337592601776,0.6321057081222529,0.228289797902107,0.21515955030918105
Slovakia,Central and Eastern Europe,2017,40,6.09800004959106,1.32539355754852,1.5050592422485398,0.295817464590073,0.712732911109924,0.136544480919838,0.0242108516395092
Bahrain,Middle East and Northern Africa,2017,41,6.08699989318848,1.48841226100922,1.3231104612350502,0.536746919155121,0.653133034706116,0.17266848683357194,0.257042169570923
Malaysia,Southeastern Asia,2017,42,6.08400011062622,1.29121541976929,1.28464603424072,0.4022649824619289,0.618784427642822,0.416608929634094,0.0656007081270218
Nicaragua,Latin America and Caribbean,2017,43,6.07100009918213,0.737299203872681,1.28721570968628,0.447551846504211,0.6530959606170649,0.301674216985703,0.130687981843948
Ecuador,Latin America and Caribbean,2017,44,6.00799989700317,1.00082039833069,1.28616881370544,0.4551981985569,0.685636222362518,0.15011246502399406,0.140134647488594
El Salvador,Latin America and Caribbean,2017,45,6.0029997825622585,0.909784495830536,1.1821250915527302,0.432452529668808,0.596018552780151,0.0782579854130745,0.0899809598922729
Poland,Central and Eastern Europe,2017,46,5.97300004959106,1.29178786277771,1.44571197032928,0.520342111587524,0.699475347995758,0.158465966582298,0.0593078061938286
Uzbekistan,Central and Eastern Europe,2017,47,5.97100019454956,0.786441087722778,1.54896914958954,0.6582486629486078,0.498272627592087,0.415983647108078,0.246528223156929
Italy,Western Europe,2017,48,5.96400022506714,1.39506661891937,1.44492328166962,0.256450712680817,0.8531443476676941,0.17278964817523998,0.0280280914157629
Russia,Central and Eastern Europe,2017,49,5.962999820709231,1.28177809715271,1.46928238868713,0.373783111572266,0.547349333763123,0.0522638224065304,0.0329628810286522
Belize,Latin America and Caribbean,2017,50,5.955999851226809,0.907975316047668,1.08141779899597,0.5475093722343439,0.450191766023636,0.24001564085483604,0.0965810716152191
Japan,Eastern Asia,2017,51,5.92000007629395,1.41691517829895,1.43633782863617,0.505625545978546,0.9134758710861208,0.12057276815176,0.163760736584663
Lithuania,Central and Eastern Europe,2017,52,5.90199995040894,1.3145823478698702,1.47351610660553,0.234231784939766,0.62894994020462,0.010164656676352,0.0118656428530812
Algeria,Middle East and Northern Africa,2017,53,5.8720002174377415,1.09186446666718,1.1462174654007,0.233335807919502,0.6175846457481379,0.0694366469979286,0.14609611034393302
Latvia,Central and Eastern Europe,2017,54,5.849999904632571,1.26074862480164,1.40471494197845,0.325707912445068,0.638566970825195,0.153074786067009,0.0738427266478539
South Korea,Eastern Asia,2017,55,5.837999820709231,1.40167844295502,1.1282744407653795,0.257921665906906,0.900214076042175,0.206674367189407,0.0632826685905457
Moldova,Central and Eastern Europe,2017,56,5.837999820709231,0.7288706302642819,1.25182557106018,0.240729048848152,0.5894652009010309,0.20877912640571605,0.0100912861526012
Romania,Central and Eastern Europe,2017,57,5.824999809265139,1.21768391132355,1.15009129047394,0.457003742456436,0.6851583123207089,0.133519917726517,0.004387900698930029
Bolivia,Latin America and Caribbean,2017,58,5.82299995422363,0.833756566047668,1.22761905193329,0.5587329268455511,0.4736302495002751,0.22556072473526,0.0604777261614799
Turkmenistan,Central and Eastern Europe,2017,59,5.82200002670288,1.1307767629623402,1.49314916133881,0.41827192902565,0.437726080417633,0.24992498755455,0.2592703402042389
Kazakhstan,Central and Eastern Europe,2017,60,5.8189997673034695,1.2845562696456898,1.38436901569366,0.43745428323745705,0.6060415506362921,0.20196442306041695,0.11928288638591802
North Cyprus,Western Europe,2017,61,5.80999994277954,1.3469113111496,1.18630337715149,0.471203625202179,0.834647238254547,0.266845703125,0.155353352427483
Slovenia,Central and Eastern Europe,2017,62,5.75799989700317,1.3412059545517,1.4525188207626298,0.572575807571411,0.7908282279968258,0.242649093270302,0.0451289787888527
Peru,Latin America and Caribbean,2017,63,5.71500015258789,1.03522527217865,1.21877038478851,0.4500028789043429,0.6301661133766171,0.126819714903831,0.0470490865409374
Mauritius,Sub-Saharan Africa,2017,64,5.62900018692017,1.18939554691315,1.20956099033356,0.491247326135635,0.6380074620246889,0.360933750867844,0.0421815551817417
Cyprus,Western Europe,2017,65,5.62099981307983,1.35593807697296,1.13136327266693,0.35511153936386103,0.84471470117569,0.271254301071167,0.0412379764020443
Estonia,Central and Eastern Europe,2017,66,5.61100006103516,1.3208793401718102,1.47667109966278,0.479131430387497,0.695168316364288,0.0988908112049103,0.18324892222881306
Belarus,Central and Eastern Europe,2017,67,5.5689997673034695,1.15655755996704,1.4449452161788898,0.295400261878967,0.6377142667770389,0.15513750910759,0.156313821673393
Libya,Middle East and Northern Africa,2017,68,5.525000095367429,1.10180306434631,1.35756433010101,0.465733230113983,0.520169019699097,0.15207366645336198,0.0926102101802826
Turkey,Middle East and Northern Africa,2017,69,5.5,1.1982743740081798,1.33775317668915,0.300740599632263,0.6376056075096129,0.0466930419206619,0.0996715798974037
Paraguay,Latin America and Caribbean,2017,70,5.493000030517581,0.932537317276001,1.50728487968445,0.473507791757584,0.579250693321228,0.224150657653809,0.091065913438797
"Hong Kong S.A.R., China",,2017,71,5.47200012207031,1.55167484283447,1.26279091835022,0.490968644618988,0.943062424659729,0.374465793371201,0.293933749198914
Philippines,Southeastern Asia,2017,72,5.42999982833862,0.85769921541214,1.25391757488251,0.585214674472809,0.468009054660797,0.193513423204422,0.0993318930268288
Serbia,Central and Eastern Europe,2017,73,5.39499998092651,1.06931757926941,1.2581897974014298,0.20871552824974104,0.65078467130661,0.22012588381767295,0.0409037806093693
Jordan,Middle East and Northern Africa,2017,74,5.33599996566772,0.9910123944282528,1.23908889293671,0.418421149253845,0.6045900583267211,0.17217046022415194,0.11980327218771003
Hungary,Central and Eastern Europe,2017,75,5.32399988174438,1.2860119342803995,1.34313309192657,0.17586351931095098,0.6877634525299069,0.0784016624093056,0.0366369374096394
Jamaica,Latin America and Caribbean,2017,76,5.31099987030029,0.925579309463501,1.3682180643081698,0.474307239055634,0.6410223841667181,0.23381833732128104,0.0552677810192108
Croatia,Central and Eastern Europe,2017,77,5.2930002212524405,1.22255623340607,0.96798300743103,0.255772292613983,0.701288521289825,0.248002976179123,0.0431031100451946
Kosovo,Central and Eastern Europe,2017,78,5.27899980545044,0.951484382152557,1.13785350322723,0.260287940502167,0.541452050209045,0.319931447505951,0.0574716180562973
China,Eastern Asia,2017,79,5.2729997634887695,1.08116579055786,1.16083741188049,0.472787708044052,0.741415500640869,0.0288068410009146,0.0227942746132612
Pakistan,Southern Asia,2017,80,5.26900005340576,0.7268835306167599,0.6726906895637509,0.23521526157856,0.402047783136368,0.3154460191726681,0.124348066747189
Indonesia,Southeastern Asia,2017,81,5.26200008392334,0.995538592338562,1.27444469928741,0.443323463201523,0.4923457205295561,0.611704587936401,0.0153171354904771
Venezuela,Latin America and Caribbean,2017,82,5.25,1.12843120098114,1.43133759498596,0.15399712324142498,0.617144227027893,0.0650196298956871,0.0644911229610443
Montenegro,Central and Eastern Europe,2017,83,5.23699998855591,1.12112903594971,1.23837649822235,0.194989055395126,0.6674646735191351,0.197911024093628,0.0881741940975189
Morocco,Middle East and Northern Africa,2017,84,5.2350001335144,0.8781145811080929,0.774864435195923,0.408158332109451,0.59771066904068,0.0322099551558495,0.0877631828188896
Azerbaijan,Central and Eastern Europe,2017,85,5.2340002059936515,1.1536017656326298,1.15240025520325,0.3981558382511141,0.5407757759094239,0.0452693402767181,0.180987507104874
Dominican Republic,Latin America and Caribbean,2017,86,5.230000019073491,1.07937383651733,1.4024167060852095,0.55258983373642,0.574873745441437,0.186967849731445,0.113945253193378
Greece,Western Europe,2017,87,5.227000236511231,1.28948748111725,1.23941457271576,0.0957312509417534,0.8101989030838009,0.0,0.04328977689147
Lebanon,Middle East and Northern Africa,2017,88,5.22499990463257,1.07498753070831,1.12962424755096,0.28851598501205394,0.7350810766220089,0.26445075869560203,0.037513829767704
Portugal,Western Europe,2017,89,5.19500017166138,1.3151752948761002,1.36704301834106,0.498465299606323,0.795843541622162,0.0951027125120163,0.0158694516867399
Bosnia and Herzegovina,Central and Eastern Europe,2017,90,5.18200016021729,0.982409417629242,1.0693359375,0.204403176903725,0.705186307430267,0.328867495059967,0.0
Honduras,Latin America and Caribbean,2017,91,5.1810002326965305,0.730573117733002,1.14394497871399,0.348079860210419,0.582569479942322,0.23618887364864305,0.0733454525470734
Macedonia,Central and Eastern Europe,2017,92,5.1750001907348615,1.06457793712616,1.20789301395416,0.325905978679657,0.644948184490204,0.25376096367836,0.0602777935564518
Somalia,Sub-Saharan Africa,2017,93,5.151000022888179,0.0226431842893362,0.7211513519287109,0.602126955986023,0.113989137113094,0.291631311178207,0.28241032361984303
Vietnam,Southeastern Asia,2017,94,5.07399988174438,0.7885475754737851,1.27749133110046,0.571055591106415,0.6521689891815191,0.234968051314354,0.0876332372426987
Nigeria,Sub-Saharan Africa,2017,95,5.07399988174438,0.783756256103516,1.21577048301697,0.394952565431595,0.0569157302379608,0.230947196483612,0.0261215660721064
Tajikistan,Central and Eastern Europe,2017,96,5.04099988937378,0.524713635444641,1.27146327495575,0.471566706895828,0.5292351245880129,0.24899764358997306,0.14637714624404902
Bhutan,Southern Asia,2017,97,5.01100015640259,0.885416388511658,1.3401265144348102,0.5015376806259161,0.495879292488098,0.474054545164108,0.17338038980960802
Kyrgyzstan,Central and Eastern Europe,2017,98,5.0040001869201705,0.5962200760841371,1.39423859119415,0.454943388700485,0.553457796573639,0.42858037352562,0.0394391790032387
Nepal,Southern Asia,2017,99,4.961999893188481,0.479820191860199,1.17928326129913,0.4403059482574461,0.504130780696869,0.3940961658954621,0.0729755461215973
Mongolia,Eastern Asia,2017,100,4.95499992370605,1.02723586559296,1.4930112361908,0.3941439688205721,0.557783484458923,0.338464230298996,0.0329022891819477
South Africa,Sub-Saharan Africa,2017,101,4.8289999961853,1.05469870567322,1.38478863239288,0.479246735572815,0.18708007037639604,0.13936237990856198,0.0725094974040985
Tunisia,Middle East and Northern Africa,2017,102,4.80499982833862,1.00726580619812,0.8683514595031742,0.289680689573288,0.613212049007416,0.0496933571994305,0.0867231488227844
Palestinian Territories,Middle East and Northern Africa,2017,103,4.77500009536743,0.716249227523804,1.15564715862274,0.25471106171608,0.565666973590851,0.114173173904419,0.0892826020717621
Egypt,Middle East and Northern Africa,2017,104,4.7350001335144,0.989701807498932,0.997471392154694,0.28211015462875394,0.520187258720398,0.128631442785263,0.114381365478039
Bulgaria,Central and Eastern Europe,2017,105,4.71400022506714,1.1614590883255,1.43437945842743,0.2892317175865169,0.708217680454254,0.113177694380283,0.0110515309497714
Sierra Leone,Sub-Saharan Africa,2017,106,4.70900011062622,0.36842092871666,0.984136044979095,0.318697690963745,0.005564753897488121,0.293040901422501,0.0710951760411263
Cameroon,Sub-Saharan Africa,2017,107,4.69500017166138,0.564305365085602,0.946018218994141,0.430388748645782,0.132892116904259,0.23629845678806305,0.0513066314160824
Iran,Middle East and Northern Africa,2017,108,4.69199991226196,1.15687310695648,0.7115512490272521,0.24932260811328896,0.639333188533783,0.387242913246155,0.048761073499918005
Albania,Central and Eastern Europe,2017,109,4.64400005340576,0.996192753314972,0.8036852478981021,0.381498634815216,0.731159746646881,0.201312944293022,0.0398642159998417
Bangladesh,Southern Asia,2017,110,4.60799980163574,0.586682975292206,0.735131740570068,0.478356659412384,0.533241033554077,0.17225535213947304,0.123717859387398
Namibia,Sub-Saharan Africa,2017,111,4.57399988174438,0.964434325695038,1.0984708070755,0.520303547382355,0.33861181139946,0.0771337449550629,0.0931469723582268
Kenya,Sub-Saharan Africa,2017,112,4.55299997329712,0.560479462146759,1.06795072555542,0.452763766050339,0.30998834967613204,0.444860309362411,0.0646413192152977
Mozambique,Sub-Saharan Africa,2017,113,4.5500001907348615,0.234305649995804,0.870701014995575,0.480791091918945,0.106654435396194,0.322228103876114,0.17943638563156106
Myanmar,Southeastern Asia,2017,114,4.54500007629395,0.36711055040359497,1.12323594093323,0.514492034912109,0.397522568702698,0.8380751609802249,0.188816204667091
Senegal,Sub-Saharan Africa,2017,115,4.53499984741211,0.479309022426605,1.17969191074371,0.37792226672172496,0.409362852573395,0.183468893170357,0.115460447967052
Zambia,Sub-Saharan Africa,2017,116,4.513999938964839,0.6364067792892459,1.00318729877472,0.461603492498398,0.25783589482307395,0.249580144882202,0.0782135501503944
