Country,Region,Year,Happiness Rank,Happiness Score,Economy,Family,Freedom,Health,Generosity,Trust
Slovenia,Central and Eastern Europe,2015,55,5.848,1.18498,1.27385,0.60855,0.8733700000000001,0.25328,0.03787
Lithuania,Central and Eastern Europe,2015,56,5.832999999999998,1.14723,1.25745,0.21342,0.73128,0.026410000000000003,0.01031
Nicaragua,Latin America and Caribbean,2015,57,5.8279999999999985,0.59325,1.14184,0.55475,0.7431399999999999,0.27815,0.19317
Peru,Latin America and Caribbean,2015,58,5.824,0.9001899999999999,0.97459,0.4149600000000001,0.73017,0.14982,0.05989
Belarus,Central and Eastern Europe,2015,59,5.813,1.0319200000000002,1.23289,0.37938,0.7360800000000001,0.11046,0.1909
Poland,Central and Eastern Europe,2015,60,5.791,1.12555,1.27948,0.53122,0.77903,0.16759000000000002,0.04212
Malaysia,Southeastern Asia,2015,61,5.77,1.12486,1.07023,0.5302399999999999,0.7239399999999999,0.33075,0.10501
Croatia,Central and Eastern Europe,2015,62,5.759,1.08254,0.79624,0.25883,0.78805,0.05444,0.0243
Libya,Middle East and Northern Africa,2015,63,5.754,1.13145,1.1186200000000002,0.41668,0.7038,0.18295,0.11023
Russia,Central and Eastern Europe,2015,64,5.716,1.13764,1.23617,0.36679,0.6692600000000001,0.00199,0.03005
Jamaica,Latin America and Caribbean,2015,65,5.709,0.81038,1.1510200000000002,0.50442,0.6874100000000001,0.2123,0.02299
North Cyprus,Western Europe,2015,66,5.695,1.20806,1.07008,0.49027,0.92356,0.26169000000000003,0.1428
Cyprus,Western Europe,2015,67,5.689,1.20813,0.89318,0.40672,0.92356,0.30638000000000004,0.06146
Algeria,Middle East and Northern Africa,2015,68,5.605,0.93929,1.07772,0.28579,0.61766,0.07822,0.17382999999999998
Kosovo,Central and Eastern Europe,2015,69,5.589,0.80148,0.81198,0.24749,0.63132,0.2831,0.04741
Turkmenistan,Central and Eastern Europe,2015,70,5.547999999999999,0.95847,1.22668,0.4761,0.53886,0.16979,0.30844
Mauritius,Sub-Saharan Africa,2015,71,5.477,1.00761,0.98521,0.56066,0.7095,0.37744,0.07521
Hong Kong,Eastern Asia,2015,72,5.474,1.38604,1.05818,0.59608,1.01328,0.39478,0.37124
Estonia,Central and Eastern Europe,2015,73,5.4289999999999985,1.15174,1.22791,0.44888,0.77361,0.0868,0.15184
Indonesia,Southeastern Asia,2015,74,5.399,0.8282700000000001,1.0870799999999998,0.46611,0.63793,0.51535,0.0
Vietnam,Southeastern Asia,2015,75,5.36,0.63216,0.91226,0.59444,0.7467600000000001,0.1686,0.10441
Turkey,Middle East and Northern Africa,2015,76,5.332000000000002,1.06098,0.94632,0.22815,0.73172,0.12253,0.15746
Kyrgyzstan,Central and Eastern Europe,2015,77,5.2860000000000005,0.47428,1.15115,0.43477,0.65088,0.3003,0.04232
Nigeria,Sub-Saharan Africa,2015,78,5.268,0.65435,0.90432,0.34334000000000003,0.16007000000000002,0.27233,0.0403
Bhutan,Southern Asia,2015,79,5.252999999999999,0.77042,1.10395,0.5320600000000001,0.57407,0.47998,0.15445
Azerbaijan,Central and Eastern Europe,2015,80,5.2120000000000015,1.02389,0.93793,0.3703,0.64045,0.07799,0.16065
Pakistan,Southern Asia,2015,81,5.194,0.59543,0.41411,0.12102,0.51466,0.33671,0.10464
Jordan,Middle East and Northern Africa,2015,82,5.192,0.90198,1.05392,0.40661,0.69639,0.11053,0.14293
Montenegro,Central and Eastern Europe,2015,82,5.192,0.97438,0.90557,0.1826,0.72521,0.1614,0.14296
China,Eastern Asia,2015,84,5.14,0.89012,0.94675,0.5169699999999999,0.81658,0.08185,0.02781
Zambia,Sub-Saharan Africa,2015,85,5.129,0.47038,0.91612,0.48827,0.29924,0.19591,0.12468
Romania,Central and Eastern Europe,2015,86,5.124,1.04345,0.8858799999999999,0.35068,0.7689,0.13748,0.006490000000000001
Serbia,Central and Eastern Europe,2015,87,5.122999999999998,0.92053,1.00964,0.20107,0.74836,0.19231,0.02617
Portugal,Western Europe,2015,88,5.102,1.15991,1.13935,0.51469,0.8751899999999999,0.13719,0.01078
Latvia,Central and Eastern Europe,2015,89,5.098,1.11312,1.09562,0.29671,0.72437,0.18226,0.06332
Philippines,Southeastern Asia,2015,90,5.073,0.70532,1.03516,0.62545,0.58114,0.24991,0.12279
Somaliland region,Sub-Saharan Africa,2015,91,5.057,0.18847,0.95152,0.46582,0.43873,0.5031800000000001,0.39928
Morocco,Middle East and Northern Africa,2015,92,5.013,0.7347899999999999,0.64095,0.4169100000000001,0.60954,0.07172,0.08546000000000001
Macedonia,Central and Eastern Europe,2015,93,5.007,0.91851,1.00232,0.33457,0.73545,0.22359,0.053270000000000005
Mozambique,Sub-Saharan Africa,2015,94,4.971,0.08308,1.02626,0.34037,0.09131,0.22269,0.15603
Albania,Central and Eastern Europe,2015,95,4.959,0.8786700000000001,0.8043399999999999,0.35733000000000004,0.81325,0.14272,0.06412999999999999
Bosnia and Herzegovina,Central and Eastern Europe,2015,96,4.949,0.8322299999999999,0.91916,0.09245,0.79081,0.24808,0.00227
Lesotho,Sub-Saharan Africa,2015,97,4.898,0.37545,1.04103,0.31767,0.07612000000000001,0.16388,0.12504
Dominican Republic,Latin America and Caribbean,2015,98,4.885,0.8953700000000001,1.17202,0.57672,0.66825,0.21684,0.14234000000000002
Laos,Southeastern Asia,2015,99,4.876,0.5906600000000001,0.73803,0.59591,0.54909,0.42192,0.24249
Mongolia,Eastern Asia,2015,100,4.874,0.82819,1.3006,0.43626,0.60268,0.3323,0.026660000000000003
Swaziland,Sub-Saharan Africa,2015,101,4.867,0.71206,1.07284,0.30658,0.07566,0.18259,0.0306
Greece,Western Europe,2015,102,4.857,1.15406,0.92933,0.07699,0.88213,0.0,0.013969999999999998
Lebanon,Middle East and Northern Africa,2015,103,4.839,1.02564,0.80001,0.33916,0.83947,0.21854,0.04582
Hungary,Central and Eastern Europe,2015,104,4.8,1.12094,1.20215,0.32112,0.75905,0.128,0.02758
Honduras,Latin America and Caribbean,2015,105,4.788,0.59532,0.95348,0.40148,0.6951,0.23027,0.06825
Tajikistan,Central and Eastern Europe,2015,106,4.7860000000000005,0.39047,0.8556299999999999,0.47216,0.5737899999999999,0.22974,0.15072
Tunisia,Middle East and Northern Africa,2015,107,4.739,0.88113,0.60429,0.26268,0.73793,0.06431,0.06358
Palestinian Territories,Middle East and Northern Africa,2015,108,4.715,0.59867,0.92558,0.24499,0.66015,0.11251,0.12905
Bangladesh,Southern Asia,2015,109,4.694,0.39753,0.4310600000000001,0.4082,0.60164,0.21222,0.12569
Iran,Middle East and Northern Africa,2015,110,4.686,1.0088,0.54447,0.30033000000000004,0.69805,0.38086,0.05863
Ukraine,Central and Eastern Europe,2015,111,4.681,0.79907,1.20278,0.25123,0.6739,0.15275,0.02961
Iraq,Middle East and Northern Africa,2015,112,4.677,0.98549,0.81889,0.0,0.60237,0.17922000000000002,0.13788
South Africa,Sub-Saharan Africa,2015,113,4.642,0.92049,1.18468,0.33207,0.27688,0.11973,0.08884
Ghana,Sub-Saharan Africa,2015,114,4.633,0.5455800000000001,0.6795399999999999,0.42342,0.40132,0.23087,0.04355
Zimbabwe,Sub-Saharan Africa,2015,115,4.61,0.271,1.03276,0.25861,0.33475,0.18987,0.08079
Liberia,Sub-Saharan Africa,2015,116,4.5710000000000015,0.0712,0.78968,0.28531,0.34201,0.24362,0.062320000000000014
India,Southern Asia,2015,117,4.565,0.64499,0.38174,0.39786,0.5152899999999999,0.26475,0.08492000000000001
Sudan,Sub-Saharan Africa,2015,118,4.55,0.52107,1.01404,0.10081,0.36878,0.19062,0.1466
Haiti,Latin America and Caribbean,2015,119,4.518,0.26673,0.74302,0.24425,0.38847,0.46187,0.17175
Congo (Kinshasa),Sub-Saharan Africa,2015,120,4.517,0.0,1.0012,0.22605,0.09806,0.24834,0.07625
Nepal,Southern Asia,2015,121,4.5139999999999985,0.35997,0.86449,0.38282,0.5687399999999999,0.32296,0.05907
Ethiopia,Sub-Saharan Africa,2015,122,4.512,0.19073,0.60406,0.4345,0.44055,0.24325,0.15048
Sierra Leone,Sub-Saharan Africa,2015,123,4.507,0.33024000000000003,0.95571,0.4084,0.0,0.21488,0.08786000000000001
Mauritania,Sub-Saharan Africa,2015,124,4.436,0.45407,0.86908,0.24232,0.35874,0.219,0.17461
Kenya,Sub-Saharan Africa,2015,125,4.419,0.36471,0.99876,0.42215,0.41435,0.37542,0.05839
Djibouti,Sub-Saharan Africa,2015,126,4.369,0.44025,0.59207,0.46074,0.36291,0.18093,0.28105
Armenia,Central and Eastern Europe,2015,127,4.35,0.7682100000000001,0.7771100000000001,0.19847,0.7299,0.07855,0.039
Botswana,Sub-Saharan Africa,2015,128,4.332,0.99355,1.10464,0.49495,0.04776,0.10461,0.12474
Myanmar,Southeastern Asia,2015,129,4.307,0.27108000000000004,0.70905,0.44017,0.4824600000000001,0.79588,0.19034
Georgia,Central and Eastern Europe,2015,130,4.297,0.7419,0.38562,0.40577,0.72926,0.055470000000000005,0.38331
Malawi,Sub-Saharan Africa,2015,131,4.292,0.016040000000000002,0.41134,0.43054,0.22562,0.33128,0.06977
Sri Lanka,Southern Asia,2015,132,4.271,0.83524,1.01905,0.5372600000000001,0.70806,0.40828,0.09179
Cameroon,Sub-Saharan Africa,2015,133,4.252,0.4225,0.8876700000000001,0.49309,0.23402,0.20618000000000006,0.05786
Bulgaria,Central and Eastern Europe,2015,134,4.218,1.01216,1.10614,0.30587,0.76649,0.11921,0.00872
Egypt,Middle East and Northern Africa,2015,135,4.194,0.8818,0.747,0.17288,0.61712,0.11291,0.06324
Yemen,Middle East and Northern Africa,2015,136,4.077,0.5464899999999999,0.68093,0.35571,0.40064,0.09131,0.07854
Angola,Sub-Saharan Africa,2015,137,4.033,0.75778,0.8604,0.10384000000000003,0.16683,0.12344,0.07122
Mali,Sub-Saharan Africa,2015,138,3.995,0.26074,1.03526,0.38857,0.20583,0.18798,0.12352
Congo (Brazzaville),Sub-Saharan Africa,2015,139,3.989,0.67866,0.6629,0.41466,0.31051,0.12388,0.11686
Comoros,Sub-Saharan Africa,2015,140,3.956,0.23906,0.79273,0.22917,0.36315,0.17440999999999998,0.199
